VENTA;PROYECTO;MONEDA;ESTADO ACTUAL;ESTADO CALCULADO;SALDO COMERCIAL;SALDO CONTABLE;OBS. DIF. SALDOS;DIF. SALDOS
5406;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;47450;47450;OK;0
5407;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;47600;47600;OK;0
5408;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;75515.2;75515.2;OK;0
5409;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;45900;45900;OK;0
5410;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;36537.93;36537.93;OK;0
5411;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;41411.8;41411.8;OK;0
5412;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;41521.76;41521.76;OK;0
5416;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;39157.91;39157.9;OK;0.01
5417;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;39143.92;39143.92;OK;0
5418;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;42418.99;42418.99;OK;0
5425;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;70482;70482;OK;0
5432;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;45853.05;45853.05;OK;0
5448;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;47516.2;47516.2;OK;0
5449;CIUDAD DE DIOS NORTE;USD;Fusionado;Pendiente;6337.94;6337.94;OK;0
5450;CIUDAD DE DIOS NORTE;USD;Pendiente;Pendiente;33200.42;33200.42;OK;0
5452;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;53548.45;53548.45;OK;0
5468;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;47175.8;47175.8;OK;0
5469;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;0;0.02;OK;-0.02
5470;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;0;0;OK;0
5471;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;0;0;OK;0
5472;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;46333.38;46333.38;OK;0
5473;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;50333.35;50333.35;OK;0
5474;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;46750;46750;OK;0
5475;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;41350.24;41350.24;OK;0
5476;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;72083.3;72083.3;OK;0
5491;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;58344.95;58344.95;OK;0
5492;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;75225;75225;OK;0
5493;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;75225;75225;OK;0
5494;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;74814.6;74814.6;OK;0
5495;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;23282.8;23282.8;OK;0
5496;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;38452.78;38452.78;OK;0
5503;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5504;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5505;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5506;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5507;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5508;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5509;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5510;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5511;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5512;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5513;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5514;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5515;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5516;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5517;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5518;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5519;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5520;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5521;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5522;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5523;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5524;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5525;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5526;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5527;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5528;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5529;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5530;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5531;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5532;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5533;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5534;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5535;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5536;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5537;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5538;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5539;CIUDAD DE DIOS NORTE;USD;Pagado;Pendiente;0;0;OK;0
5620;CIUDAD DE DIOS NORTE;USD;Pendiente;Pendiente;1171118.67;1171118.67;OK;0
6409;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;95967.24;95967.24;OK;0
6471;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;39878.8;39878.8;OK;0
6472;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;80550;80550;OK;0
6473;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;80550;80550;OK;0
6474;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;49313.65;49313.65;OK;0
6475;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;44077.9;44077.9;OK;0
6476;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;43608.5;43608.5;OK;0
6477;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;46449.85;46449.85;OK;0
6478;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;23713.18;23713.18;OK;0
6616;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;27594.7;27594.7;OK;0
6617;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;30148.52;30148.52;OK;0
6618;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;28681.35;28681.35;OK;0
6629;CIUDAD DE DIOS NORTE;USD;Pendiente;Pendiente;5966.2;5966.2;OK;0
6630;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;34354.6;34354.6;OK;0
6668;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;43460.9;44460.9;ERROR;-1000
6704;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;48860.64;48860.64;OK;0
6708;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;0;0;OK;0
6709;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;0;0;OK;0
6710;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;0;0;OK;0
6711;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;0;0;OK;0
6712;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;0;0;OK;0
6731;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;39292.65;39292.65;OK;0
6732;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;25359.6;25359.6;OK;0
6757;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;34777.94;34777.94;OK;0
6779;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;16285.8;16285.8;OK;0
6781;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;67110.29;67110.29;OK;0
6782;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;50352.3;50352.3;OK;0
