"VENTA";"PROYECTO";"MONEDA";"ESTADO ACTUAL";"ESTADO CALCULADO";"SALDO COMERCIAL";"SALDO CONTABLE";"DIF. SALDOS"
"8790";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"10709.74";"10709.74";"OK";""
"8791";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"7378.62";"7378.62";"OK";""
"8792";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"9769.16";"9769.16";"OK";""
"8793";"CIUDAD DE DIOS BISITO";"USD";"Retenido";"Pendiente";"8158.61";"8158.61";"OK";""
"8794";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"5259.2";"5259.2";"OK";""
"8795";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"5993.8";"5993.8";"OK";""
"8796";"CIUDAD DE DIOS BISITO";"USD";"Retenido";"Pendiente";"5785.1";"5785.1";"OK";""
"8797";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"5785.1";"5785.1";"OK";""
"8798";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"9633.63";"9633.63";"OK";""
"8799";"OKINAWA";"USD";"Retenido";"Pendiente";"5839.15";"5839.15";"OK";""
"8800";"OKINAWA";"USD";"Pendiente";"Pendiente";"6158.3";"6158.3";"OK";""
"8801";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"8513.61";"8513.61";"OK";""
"8802";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"12936.22";"12936.22";"OK";""
"8803";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"12303.32";"12303.32";"OK";""
"8804";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"8015.48";"8015.48";"OK";""
"8805";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"10338.19";"10338.19";"OK";""
"8806";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"9619.22";"9619.22";"OK";""
"8807";"OKINAWA";"USD";"Retenido";"Pendiente";"8758.09";"8758.09";"OK";""
"8808";"LA QUINTA";"USD";"Pendiente";"Pendiente";"18112.76";"18112.76";"OK";""
"8809";"OKINAWA";"USD";"Pendiente";"Pendiente";"3256.94";"3256.94";"OK";""
"8810";"LA QUINTA";"USD";"Pendiente";"Pendiente";"18112.76";"18112.76";"OK";""
"8811";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"5679.28";"5679.28";"OK";""
"8812";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"17948.52";"17948.52";"OK";""
"8813";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"17948.52";"17948.52";"OK";""
"8814";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"8660.72";"8660.72";"OK";""
"8815";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"9279.4";"9279.4";"OK";""
"8816";"OKINAWA";"USD";"Retenido";"Pendiente";"3317.33";"3317.33";"OK";""
"8817";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"8821.1";"8821.1";"OK";""
"8818";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"12528.14";"12528.14";"OK";""
"8819";"OKINAWA";"USD";"Retenido";"Pendiente";"8926.56";"8926.56";"OK";""
"8820";"OKINAWA";"USD";"Retenido";"Pendiente";"8926.56";"8926.56";"OK";""
"8821";"OKINAWA";"USD";"Pendiente";"Pendiente";"4263.39";"4263.39";"OK";""
"8822";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"8043.92";"8043.92";"OK";""
"8823";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"7729.22";"7729.22";"OK";""
"8824";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"7729.22";"7729.22";"OK";""
"8825";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"13067.97";"13067.97";"OK";""
"8826";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"5679.92";"5679.92";"OK";""
"8827";"OKINAWA";"USD";"Pendiente";"Pendiente";"5732.98";"5732.98";"OK";""
