"VENTA";"PROYECTO";"MONEDA";"ESTADO ACTUAL";"ESTADO CALCULADO";"SALDO COMERCIAL";"SALDO CONTABLE";"DIF. SALDOS"
"7896";"RENACER";"USD";"Pendiente";"Pendiente";"9641.13";"9641.13";"OK";""
"7897";"RENACER";"USD";"Pendiente";"Pendiente";"9641.13";"9641.13";"OK";""
"7898";"RENACER";"USD";"Pendiente";"Pendiente";"6889.66";"6889.66";"OK";""
"7899";"RENACER";"USD";"Retenido";"Pendiente";"9824.17";"9824.17";"OK";""
"7900";"RENACER";"USD";"Pendiente";"Pendiente";"5645.09";"5645.09";"OK";""
"7901";"DUNAS DEL URUBO";"USD";"Fusionado";"Pendiente";"25099.28";"25099.28";"OK";""
"7902";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"20400.88";"20400.88";"OK";""
"7903";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"20400.88";"20400.88";"OK";""
"7904";"RENACER";"USD";"Pendiente";"Pendiente";"6784.95";"6784.95";"OK";""
"7905";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"20571.63";"20571.63";"OK";""
"7906";"RENACER";"USD";"Retenido";"Pendiente";"15720";"15720";"OK";""
"7907";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"18810";"18810";"OK";""
"7908";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"19950";"19950";"OK";""
"7909";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"21149.68";"21149.68";"OK";""
"7910";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"21291.67";"21291.67";"OK";""
"7911";"DUNAS DEL URUBO";"USD";"Pendiente";"Pendiente";"19950";"19950";"OK";""
"7912";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"24481.01";"24481.01";"OK";""
"7913";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"22904.39";"22904.39";"OK";""
"7914";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"25900";"25900";"OK";""
"7915";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"26522.16";"26522.16";"OK";""
"7916";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"22456.86";"22456.86";"OK";""
"7917";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"22967.47";"22967.47";"OK";""
"7918";"RENACER";"USD";"Retenido";"Pendiente";"8900";"8900";"OK";""
"7919";"RENACER";"USD";"Pagado";"Pendiente";"7212.38";"7212.38";"OK";""
"7920";"RENACER";"USD";"Retenido";"Pendiente";"8900";"8900";"OK";""
"7921";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"36586.88";"36586.88";"OK";""
"7922";"RENACER";"USD";"Retenido";"Pendiente";"12301.43";"12301.43";"OK";""
"7923";"DUNAS DEL URUBO";"USD";"Pendiente";"Pendiente";"27562.55";"27562.55";"OK";""
"7924";"DUNAS DEL URUBO";"USD";"Fusionado";"Pendiente";"21646.11";"21646.11";"OK";""
"7925";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"21646.11";"21646.11";"OK";""
"7926";"DUNAS DEL URUBO";"USD";"Fusionado";"Pendiente";"21643.31";"21643.31";"OK";""
"7927";"DUNAS DEL URUBO";"USD";"Pendiente";"Pendiente";"22285.62";"22285.62";"OK";""
"7928";"RENACER";"USD";"Retenido";"Pendiente";"8900";"8900";"OK";""
"7929";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"27860.8";"27860.8";"OK";""
"7930";"DUNAS DEL URUBO";"USD";"Pendiente";"Pendiente";"27425.9";"27425.9";"OK";""
"7931";"DUNAS DEL URUBO";"USD";"Pendiente";"Pendiente";"33680.2";"33680.2";"OK";""
"7932";"RENACER";"USD";"Retenido";"Pendiente";"11200";"11200";"OK";""
"7933";"RENACER";"USD";"Pendiente";"Pendiente";"8699.2";"8699.2";"OK";""
"7934";"RENACER";"USD";"Retenido";"Pendiente";"8900";"8900";"OK";""
"7935";"RENACER";"USD";"Retenido";"Pendiente";"8754.69";"8754.69";"OK";""
"7936";"RENACER";"USD";"Retenido";"Pendiente";"8900";"8900";"OK";""
"7937";"RENACER";"USD";"Retenido";"Pendiente";"8900";"8900";"OK";""
"7938";"RENACER";"USD";"Retenido";"Pendiente";"8900";"8900";"OK";""
"7939";"RENACER";"USD";"Retenido";"Pendiente";"8900";"8900";"OK";""
"7940";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"21280.75";"21280.75";"OK";""
"7941";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"24946.56";"24946.56";"OK";""
"7942";"RENACER";"USD";"Retenido";"Pendiente";"8900";"8900";"OK";""
"7943";"RENACER";"USD";"Retenido";"Pendiente";"8900";"8900";"OK";""
"7944";"RENACER";"USD";"Retenido";"Pendiente";"9373.72";"9373.72";"OK";""
"7945";"DUNAS DEL URUBO";"USD";"Cambiado";"Pendiente";"36323.64";"36323.64";"OK";""
"7946";"RENACER";"USD";"Retenido";"Pendiente";"7650";"7650";"OK";""
"7947";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"28546.98";"28546.98";"OK";""
"7948";"RENACER";"USD";"Retenido";"Pendiente";"6009.67";"6009.67";"OK";""
"7949";"RENACER";"USD";"Pendiente";"Pendiente";"10309.69";"10309.69";"OK";""
"7950";"DUNAS DEL URUBO";"USD";"Pendiente";"Pendiente";"35691.9";"35691.9";"OK";""
"7951";"PUERTO FUTURO";"USD";"Pagado";"Pendiente";"1527.65";"1527.65";"OK";""
"7952";"PUERTO FUTURO";"USD";"Retenido";"Pendiente";"1732.05";"1732.05";"OK";""
"7953";"PUERTO FUTURO";"USD";"Pagado";"Pendiente";"1599.44";"1599.44";"OK";""
"7954";"PUERTO FUTURO";"USD";"Pendiente";"Pendiente";"3664.45";"3664.45";"OK";""
"7955";"PUERTO FUTURO";"USD";"Pendiente";"Pendiente";"4454.89";"4454.89";"OK";""
"7956";"PUERTO FUTURO";"USD";"Retenido";"Pendiente";"2565.23";"2565.23";"OK";""
"7957";"PUERTO FUTURO";"USD";"Pendiente";"Pendiente";"4614.72";"4614.72";"OK";""
"7958";"PUERTO FUTURO";"USD";"Pagado";"Pendiente";"1528.77";"1528.77";"OK";""
"7959";"PUERTO FUTURO";"USD";"Retenido";"Pendiente";"3370.2";"3370.2";"OK";""
"7960";"PUERTO FUTURO";"USD";"Pendiente";"Pendiente";"900";"900";"OK";""
"7961";"PUERTO FUTURO";"USD";"Pendiente";"Pendiente";"4142.08";"4142.08";"OK";""
"7962";"PUERTO FUTURO";"USD";"Pendiente";"Pendiente";"3743.32";"3743.32";"OK";""
"7963";"PUERTO FUTURO";"USD";"Pendiente";"Pendiente";"1603.02";"1603.02";"OK";""
"7964";"PUERTO FUTURO";"USD";"Pendiente";"Pendiente";"1678.7";"1678.7";"OK";""
"7965";"PUERTO FUTURO";"USD";"Pagado";"Pendiente";"2049.29";"2049.29";"OK";""
"7966";"PUERTO FUTURO";"USD";"Pendiente";"Pendiente";"1527.83";"1527.83";"OK";""
"7967";"PUERTO FUTURO";"USD";"Pendiente";"Pendiente";"1599.44";"1599.44";"OK";""
"7968";"PUERTO FUTURO";"USD";"Pendiente";"Pendiente";"3286.83";"3286.83";"OK";""
"7969";"PUERTO FUTURO";"USD";"Pendiente";"Pendiente";"3352";"3352";"OK";""
"7970";"PUERTO FUTURO";"USD";"Pendiente";"Pendiente";"1599.44";"1599.44";"OK";""
