VENTA;PROYECTO;MONEDA;ESTADO ACTUAL;ESTADO CALCULADO;SALDO COMERCIAL;SALDO CONTABLE;OBS. DIF. SALDOS;DIF. SALDOS
7316;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;5849.28;5848.73;OK;
7317;CIUDAD DE DIOS BISITO;USD;Retenido;Pendiente;6100;6100;OK;
7331;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;4964;4963.52;OK;
7332;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;6021.88;7021.31;ERROR;1
7333;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;4602.71;4602.28;OK;
7334;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;4602.71;4602.28;OK;
7350;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;12619.8;12618.61;ERROR;1
7351;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;4524.38;4518.55;ERROR;1
7354;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;8529.54;8529.54;OK;
7357;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;7346.17;7345.47;OK;
7365;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;5932.5;5932.5;OK;
7369;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;4602.71;4602.28;OK;
7370;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;9838.1;9837.17;OK;
7389;CIUDAD DE DIOS BISITO;USD;Retenido;Pendiente;12974.7;12974.7;OK;
7390;CIUDAD DE DIOS BISITO;USD;Retenido;Pendiente;7290.09;7290.09;OK;
7392;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;4425.74;4425.32;OK;
7393;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;4425.74;4425.32;OK;
7418;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;6594.83;6594.22;OK;
7499;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;8004.98;8004.98;OK;
7500;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;8812.82;8812.82;OK;
7501;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;7859.35;7859.35;OK;
7502;CIUDAD DE DIOS BISITO;USD;Retenido;Pendiente;7527.9;7527.9;OK;
7524;CIUDAD DE DIOS BISITO;USD;Fusionado;Pendiente;5280;5280;OK;
7531;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;6290.39;6290.39;OK;
7532;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;6470.73;6470.73;OK;
7533;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;7082.28;7082.28;OK;
7544;CIUDAD DE DIOS BISITO;USD;Retenido;Retenido;0;0;OK;
7545;CIUDAD DE DIOS BISITO;USD;Retenido;Retenido;0;0;OK;
7546;CIUDAD DE DIOS BISITO;USD;Retenido;Retenido;0;0;OK;
7552;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;4140.71;4140.71;OK;
7622;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;5892.68;5892.68;OK;
