VENTA;PROYECTO;MONEDA;ESTADO ACTUAL;ESTADO CALCULADO;SALDO COMERCIAL;SALDO CONTABLE;RESULTADO;DIF. SALDOS
1639;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;746.07;746.07;OK;0
1640;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1641;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;568.84;568.84;OK;0
1642;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;412.79;412.79;OK;0
1643;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1644;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;254.58;254.58;OK;0
1645;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1646;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;1186.97;1186.97;OK;0
1647;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1648;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;334.76;334.76;OK;0
1649;CIUDAD DE DIOS LUJAN;USD;Cambiado;Cambiado;0;0;OK;0
1654;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;367.9;367.9;OK;0
1655;CIUDAD DE DIOS LUJAN;USD;Cambiado;Cambiado;0;0;OK;0
1656;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1657;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1658;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1659;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;491.64;491.64;OK;0
1660;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;583.56;583.56;OK;0
1661;CIUDAD DE DIOS LUJAN;USD;Pagado;Pagado;0;0;OK;0
1662;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;584.93;584.93;OK;0
1663;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;386.12;386.12;OK;0
1664;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;6724.8;6724.8;OK;0
1665;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;5841.92;5841.92;OK;0
1666;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;551.5;551.5;OK;0
1667;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
